size_usd,impact,api_price_impact
2058.22,0.0,-0.0009185810473961478
72960.35034482759,0.004714432944913928,-0.005628683403557534
143862.48068965517,0.008519884710868987,-0.009430639553643715
214764.61103448272,0.01173278549792258,-0.012640589030927084
285666.7413793103,0.01453031465202961,-0.015435548427773668
356568.8717241379,0.017021795930033393,-0.017924741078295312
427471.00206896546,0.019279455666205557,-0.02018034604168586
498373.13241379306,0.021353597704851096,-0.022252582772432042
569275.2627586207,0.023280708723174278,-0.024177923545624
640177.3931034482,0.0250882117827546,-0.025983766232003054
711079.5234482758,0.02679724074023566,-0.027691225274641074
781981.6537931033,0.028424529589395064,-0.02931701929546128
852883.7841379308,0.02998361257705252,-0.030874679539975598
923785.9144827586,0.0314856409294653,-0.03237532811379938
994688.0448275862,0.03294003940468309,-0.03382839056372002
1065590.1751724137,0.03435481554483226,-0.03524186707605407
1136492.3055172414,0.035737014751020424,-0.03662281533056765
1207394.435862069,0.03709284226764913,-0.037977397343824
1278296.5662068964,0.038427923150299914,-0.03931125178157566
1349198.696551724,0.03974742024724375,-0.040629536749348286
1420100.8268965515,0.041056237244210876,-0.0419371514282009
1491002.9572413792,0.042359018790135,-0.04323875482222218
1561905.0875862066,0.04366032556286423,-0.04453886615064706
1632807.2179310343,0.04496469231775825,-0.04584203465018658
1703709.3482758617,0.046276803337861286,-0.047152940300672776
1774611.4786206896,0.04760147654147811,-0.04847639659443451
1845513.608965517,0.04894385515037168,-0.04981754202841776
1916415.7393103447,0.05030951978283245,-0.05118195209428354
1987317.8696551723,0.051704626291716786,-0.05257577698981958
2058219.9999999998,0.05313618907809052,-0.05400602467231815
