size_usd,impact,api_price_impact,ts_utc,chain_id,market,pt_address,out_token,api_base,aggregator_enabled,spot_price_arg
881.298,0.0,-0.0007944967106954106,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
441493.57725,0.0008703652933987183,-0.001664170501067166,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
882105.8565,0.0014752792202905015,-0.002268603826830401,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
1322718.1357500001,0.002222810939790232,-0.0030155416345054617,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
1763330.415,0.0028524437827642268,-0.0036446742360907902,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
2203942.6942499997,0.003253477029756974,-0.004045388863786761,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
2644554.9735,0.0035209806919595005,-0.004312679995076736,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
3085167.2527500005,0.003712082251513287,-0.004498549147792657,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
3525779.532,0.003855530140298611,-0.004641883799393725,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
3966391.8112500003,0.00417748644574716,-0.004963585953351856,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
4407004.0905,0.0049629726832508755,-0.005748452130150089,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
4847616.369750001,0.006104445928101085,-0.006889024299338897,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
5288228.649,0.007560783918598622,-0.008344212660639061,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
5728840.92825,0.009350030601262717,-0.010132123298270613,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
6169453.2075000005,0.011565756439294833,-0.012346099877782159,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
6610065.48675,0.014455992159160177,-0.01523405383076129,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
7050677.766,0.018784643977991386,-0.019559288290161292,2026-07-21T20:56:08+00:00,1,0x13285bcbc27f92b47b4edb99d744c07b48c977c0,0xecfafdc7741323a945a163ed068b5a3c43483957,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://api-v2.pendle.finance/core,false,0.881298
